GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059087200,3869,141,695,1365,1668,175,65,26,41,43,504,201,219,361,529,121,92,42,46,58
06059087300,5498,56,1044,2152,2246,309,0,108,123,78,615,61,336,472,577,136,19,114,81,88
06059087401,2869,51,347,1095,1376,69,0,0,37,32,254,61,111,247,303,63,12,12,55,37
06059087403,1566,12,439,527,588,72,5,15,32,20,225,13,185,129,159,44,8,21,26,26
06059087404,1718,16,526,410,766,135,0,82,45,8,219,16,174,142,232,69,12,57,35,10
06059087405,2292,27,450,927,888,73,8,0,55,10,260,34,142,259,258,60,12,17,58,17
06059087503,3166,158,426,1177,1405,143,12,52,21,58,395,124,157,324,433,88,19,48,34,65
06059087504,3094,41,595,1127,1331,169,6,44,119,0,300,38,174,315,336,85,11,50,75,17
06059087505,2243,117,766,479,881,71,29,42,0,0,308,141,269,230,284,80,45,66,12,12
06059087601,2738,43,492,1061,1142,79,11,53,0,15,300,62,246,312,351,58,17,51,17,24
06059087602,3684,40,736,1261,1647,60,0,0,0,60,499,52,273,396,514,57,17,17,17,57
06059087701,3041,178,270,838,1755,111,0,12,74,25,367,186,124,219,381,76,17,19,72,34
06059087703,3160,46,271,825,2018,66,0,6,10,50,350,50,129,200,382,59,17,11,14,57
06059087704,2340,55,262,536,1487,29,0,0,19,10,275,91,119,210,271,33,17,17,30,16
06059087801,2523,17,313,1170,1023,15,0,0,15,0,298,28,149,244,279,17,17,17,17,17
06059087802,3539,14,373,1540,1612,59,0,0,26,33,431,22,164,413,438,63,17,17,41,43
06059087803,2217,30,389,792,1006,146,0,0,44,102,285,41,148,253,265,90,17,17,39,79
06059087805,3431,166,510,1300,1455,152,38,14,86,14,381,146,173,352,362,144,45,21,132,24
06059087806,2756,54,546,855,1301,67,27,30,0,10,301,42,158,262,393,60,33,48,17,17
06059087901,2169,29,352,365,1423,44,29,15,0,0,279,46,181,174,349,50,46,18,12,12
06059087902,2150,68,164,689,1229,85,34,0,36,15,298,59,89,198,297,67,44,17,44,24
06059088001,2200,8,168,589,1435,27,0,27,0,0,282,13,93,223,320,45,12,45,12,12
06059088002,1836,14,226,380,1216,85,7,23,55,0,210,42,92,155,270,61,22,27,50,12
06059088101,1155,25,128,519,483,31,0,9,0,22,157,28,60,150,140,24,12,13,12,19
06059088104,2119,0,355,920,844,44,0,7,37,0,185,12,105,203,184,51,12,11,48,12
06059088105,2212,9,90,468,1645,43,9,0,0,34,229,13,65,178,296,48,13,12,12,46
06059088106,2807,59,386,1036,1326,46,0,41,5,0,294,72,111,179,269,48,17,46,9,17
06059088107,2770,67,404,503,1796,29,0,0,29,0,257,51,130,150,310,46,17,17,46,17
06059088201,1557,20,226,491,820,47,20,26,0,1,275,33,108,161,292,51,33,41,12,11
06059088202,1758,3,197,399,1159,19,0,0,6,13,182,5,142,114,208,21,12,12,9,19
06059088203,2602,56,387,810,1349,53,28,19,6,0,344,60,146,234,316,55,43,31,10,17
06059088301,3270,218,375,1002,1675,41,41,0,0,0,326,252,201,279,338,63,63,17,17,17
06059088302,3344,22,390,1079,1853,24,0,0,0,24,251,32,201,189,300,40,17,17,17,40
06059088401,2972,13,90,485,2384,83,0,0,19,64,369,20,47,141,413,58,17,17,20,54
06059088402,2195,54,314,700,1127,73,19,0,34,20,319,51,109,228,361,63,21,12,46,33
06059088403,3915,161,380,1457,1917,66,31,10,19,6,409,143,138,349,427,61,49,16,32,13
06059088501,3214,88,381,1082,1663,41,9,26,0,6,371,104,128,225,383,45,14,42,17,11
06059088502,2419,58,375,721,1265,71,0,59,12,0,267,55,215,263,293,66,17,63,18,17
06059088601,3906,180,587,1511,1628,146,10,0,97,39,503,142,240,405,584,145,16,17,128,64
06059088602,2189,46,249,732,1162,24,6,0,18,0,246,41,84,201,284,28,11,12,26,12
06059088701,2722,114,489,1229,890,83,9,32,9,33,213,74,150,220,221,55,15,35,14,42
06059088702,3188,29,279,759,2121,65,13,9,43,0,293,35,104,182,300,56,23,14,49,17
06059088801,3976,56,805,1769,1346,0,0,0,0,0,396,73,213,396,419,17,17,17,17,17
06059088802,2316,32,236,877,1171,95,0,17,32,46,223,35,88,221,261,62,12,26,38,42
06059088901,3100,178,299,898,1725,25,0,10,15,0,302,113,106,190,358,29,17,15,25,17
06059088902,2563,0,258,667,1638,19,0,0,19,0,281,17,154,155,311,29,17,17,29,17
06059088903,3818,135,237,1058,2388,55,0,0,31,24,334,81,94,228,379,60,17,17,46,39
06059088904,2431,11,163,653,1604,0,0,0,0,0,378,16,102,251,384,17,17,17,17,17
06059088905,1890,9,164,577,1140,0,0,0,0,0,250,14,82,174,283,12,12,12,12,12
06059089001,3348,57,157,631,2503,72,9,0,5,58,371,50,90,235,452,53,14,17,9,50
06059089003,1833,10,174,710,939,62,0,26,16,20,176,15,81,169,193,39,12,24,17,23
06059089004,3201,22,411,1122,1646,159,0,71,13,75,423,36,173,242,409,86,17,66,18,60
06059089102,3489,81,367,1333,1708,67,18,0,10,39,311,74,125,350,368,51,21,17,16,43
06059089104,2649,228,516,769,1136,160,46,86,10,18,304,185,209,245,316,118,43,102,15,28
06059089105,3085,51,160,717,2157,57,0,24,20,13,362,70,95,215,443,47,17,29,30,20
06059089106,2153,9,263,1008,873,59,0,11,48,0,170,14,94,222,187,44,12,17,40,12
06059089107,2961,5,149,419,2388,148,0,0,16,132,305,13,129,145,319,99,17,17,18,101
06059099202,4225,112,423,1091,2599,115,0,11,31,73,502,105,185,381,682,94,17,17,49,80
06059099203,2848,36,90,913,1809,19,0,7,12,0,309,36,55,226,357,22,17,12,18,17
06059099204,1967,33,275,742,917,31,0,16,15,0,214,32,89,164,215,28,12,21,25,12
06059099212,2817,0,333,1251,1233,0,0,0,0,0,341,17,136,289,358,17,17,17,17,17
06059099214,1691,37,123,732,799,0,0,0,0,0,256,43,58,195,217,12,12,12,12,12
06059099215,2785,32,341,1296,1116,66,8,8,33,17,311,29,127,275,319,56,12,12,51,20
