GEOID,lat,lon,aland_sqmi
06059087505,33.8106404,-117.9305408,0.254
06059087601,33.8142493,-117.9414133,0.509
06059087602,33.804464,-117.9399832,0.765
06059087701,33.8214013,-117.958885,0.504
06059087703,33.8103895,-117.9632329,0.505
06059087704,33.8104384,-117.9545104,0.513
06059087801,33.8100654,-118.0063667,0.5
06059087802,33.81016,-117.9976437,0.499
06059087803,33.810202,-117.9889032,0.504
06059087805,33.8102754,-117.9801356,0.505
06059087806,33.8103706,-117.9716643,0.471
06059087901,33.7992973,-117.9918205,0.429
06059087902,33.7920054,-117.9916861,0.434
06059088001,33.7957685,-117.9799125,0.506
06059088002,33.7957982,-117.9715258,0.464
06059088101,33.7886468,-118.0049706,1.343
06059088104,33.7847458,-117.9915613,0.431
06059088105,33.7848357,-117.9757201,0.483
06059088106,33.7774539,-117.9914541,0.434
06059088107,33.7775512,-117.9756059,0.485
06059088201,33.7958099,-117.9631339,0.505
06059088202,33.7953384,-117.9555411,0.359
06059088203,33.7849481,-117.9586224,0.504
06059088301,33.7961088,-117.9469276,0.639
06059088302,33.7874758,-117.9397292,0.75
06059088401,33.78879,-117.9281104,0.501
06059088402,33.7888535,-117.9193342,0.505
06059088403,33.7888906,-117.9105799,0.498
06059088501,33.774306,-117.9263206,0.504
06059088502,33.7788137,-117.9171462,0.489
06059088601,33.7737751,-117.9441552,0.561
06059088602,33.774216,-117.9350465,0.503
06059088701,33.7776731,-117.9584718,0.505
06059088702,33.7703805,-117.9579741,0.546
06059088801,33.7710918,-117.9771951,0.482
06059088802,33.7655569,-117.9803615,0.46
06059088901,33.7606739,-117.9622131,0.756
06059088902,33.7632139,-117.9463184,0.497
06059088903,33.7535135,-117.9447927,0.752
06059088904,33.7485812,-117.9548863,0.503
06059088905,33.7521267,-117.9679745,0.507
06059089001,33.7523664,-117.9332194,0.504
06059089003,33.7633574,-117.9289907,0.503
06059089004,33.7524439,-117.9245717,0.499
06059089102,33.7636581,-117.9089192,0.655
06059089104,33.7575059,-117.9106488,0.315
06059089105,33.7507951,-117.9146518,0.482
06059089106,33.7713059,-117.9150747,0.285
06059089107,33.770691,-117.9011275,0.549
06059099202,33.7345899,-117.925469,0.691
06059099203,33.7378669,-117.9417352,0.492
06059099204,33.7377201,-117.9503795,0.496
06059099212,33.7083526,-117.9847336,0.494
06059099214,33.6835535,-117.9626937,0.503
06059099215,33.6757269,-117.9624687,0.498
06059099216,33.6802777,-117.9481206,0.652
06059099217,33.6636513,-117.9506384,0.468
06059099220,33.6446413,-117.9767121,1.091
06059099222,33.7375621,-117.9678007,0.502
06059099223,33.7376034,-117.9590548,0.506
06059099224,33.723079,-117.9675804,0.494
06059099225,33.7219602,-117.9462686,1.464
06059099226,33.7235939,-117.9329098,0.506
06059099227,33.7241157,-117.9227863,0.665
06059099229,33.7046746,-117.9372009,1.745
06059099230,33.6940852,-117.9499072,0.487
06059099231,33.6940317,-117.9737035,0.748
06059099232,33.6942404,-117.9606349,0.766
06059099233,33.7084651,-117.9760616,0.503
06059099234,33.7086328,-117.9673875,0.494
06059099235,33.6939797,-117.9845182,0.492
06059099237,33.6622665,-117.9654799,0.494
06059099238,33.665046,-117.9580453,0.5
06059099239,33.6470177,-117.9671282,0.778
06059099240,33.64069,-117.95956,0.924
06059099241,33.7264223,-117.9801983,0.526
06059099242,33.719172,-117.980803,0.473
06059099243,33.664929,-117.9840914,0.488
06059099244,33.6649454,-117.9754489,0.503
06059099245,33.6794371,-117.9842902,0.494
06059099246,33.6794798,-117.9756487,0.508
06059099247,33.7416391,-117.9330902,0.237
06059099248,33.7416923,-117.9244471,0.234
06059099249,33.7418244,-117.91608,0.221
06059099250,33.7088786,-117.9586812,0.501
06059099251,33.7087027,-117.9499292,0.511
06059099305,33.6793721,-117.9932453,0.543
06059099306,33.6661406,-117.9937184,0.427
06059099307,33.6509015,-117.9924346,0.444
06059099308,33.677314,-118.0195333,1.182
06059099309,33.6760101,-118.0028204,0.789
06059099310,33.66484,-118.0134388,0.33
06059099311,33.6610404,-118.0028287,0.374
06059099402,33.7083357,-117.9977973,1.004
06059099404,33.7074697,-118.0193274,0.543
06059099405,33.7190957,-118.0153179,0.506
06059099406,33.726392,-118.0154385,0.5
06059099407,33.7225872,-118.0283982,0.502
06059099408,33.7226068,-118.0371737,0.514
06059099410,33.7265068,-117.9978887,0.508
06059099411,33.719217,-117.9978509,0.513
06059099412,33.7064714,-118.0126393,0.618
06059099415,33.6927398,-118.0285016,2.868
06059099416,33.7188931,-118.0458582,0.251
06059099417,33.7097167,-118.0546838,0.994
06059099418,33.690113,-117.9949313,0.354
06059099419,33.6980069,-118.0038344,0.997
06059099502,33.7508498,-118.0636903,7.405
06059099504,33.7512108,-118.0946098,0.892
06059099506,33.7206734,-118.075778,0.228
06059099508,33.7249948,-118.0488764,0.469
06059099509,33.7700978,-118.0833027,0.434
06059099510,33.7652357,-118.0877826,0.509
06059099511,33.7384711,-118.105723,0.365
06059099512,33.7444635,-118.1043364,0.238
06059099513,33.7174759,-118.0667384,0.268
06059099514,33.7227495,-118.0610462,0.706
06059099601,33.7496311,-118.0061611,1.251
06059099602,33.7516671,-118.0200958,0.513
06059099603,33.7473935,-118.0334998,2.065
06059099604,33.7372031,-118.0199636,0.495
06059099605,33.7366332,-118.0085345,0.745
06059099701,33.7483622,-117.9852881,0.753
06059099702,33.7410721,-117.9853642,0.756
06059099703,33.7338428,-117.9850382,0.739
06059099801,33.765783,-117.9907063,0.581
06059099802,33.757341,-117.9939643,0.384
06059099803,33.755705,-117.9809384,0.494
06059099902,33.7661851,-118.0205288,0.525
06059099903,33.7664926,-118.0116756,0.518
06059099904,33.7664961,-118.0028939,0.513
06059099905,33.7701936,-118.029878,0.388
06059099906,33.7647488,-118.0359657,0.673
06059110001,33.7897486,-118.0344624,0.487
06059110003,33.7847215,-118.0198654,0.509
06059110004,33.7772554,-118.0221376,0.691
06059110005,33.7803613,-118.0368158,0.421
06059110006,33.7981512,-118.079092,0.51
06059110007,33.7860198,-118.0863456,0.927
06059110008,33.7799533,-118.0798959,0.713
06059110010,33.792026,-118.0197653,0.5
06059110011,33.7993147,-118.0196525,0.5
06059110012,33.7780719,-118.0585144,0.914
06059110014,33.8013114,-118.0632114,0.257
06059110015,33.7926206,-118.0523757,2.78
06059110102,33.8416603,-118.0450025,0.591
06059110104,33.8253864,-118.041495,0.686
06059110106,33.8142936,-118.0572772,0.288
06059110108,33.8081618,-118.0666483,0.766
06059110109,33.8207314,-118.0281903,0.508
06059110110,33.8305661,-118.0297412,0.761
06059110111,33.8349406,-118.0524061,0.841
06059110113,33.8066097,-118.0372135,1.473
